season,team,player_name,player_sofa_id,tm_href,position,position_label,birth_date,age,market_value,rating,goals,assists,expectedGoals,expectedAssists,minutesPlayed,matchesStarted,appearances,yellowCards,redCards,shotsOnTarget,accuratePassesPercentage,keyPasses,successfulDribblesPercentage,tackles,interceptions,bigChancesCreated,bigChancesMissed
Bundesliga 25/26,1. FC Union Berlin,Matheo Raab,842718,/matheo-raab/profil/spieler/386685,G,Goleiro,1998-12-18,26.6,600000.0,9.7,0,0,,0.0,90,1,1,0,0,0,53.13,0,0.0,0,0,0,0
Bundesliga 25/26,1. FC Union Berlin,Carl Klaus,148167,/carl-klaus/profil/spieler/161057,G,Goleiro,1994-01-16,31.5,350000.0,7.23,0,0,,0.01,329,3,4,0,0,0,61.47,0,0.0,0,0,0,0
Bundesliga 25/26,1. FC Union Berlin,Christopher Trimmel,48557,/christopher-trimmel/profil/spieler/75921,M,Meio-campo,1987-02-24,38.4,600000.0,7.02,0,3,0.09,6.41,1875,22,29,8,0,1,68.04,53,16.67,38,11,11,0
Bundesliga 25/26,1. FC Union Berlin,Josip Juranović,791642,/josip-juranovic/profil/spieler/362977,M,Meio-campo,1995-08-16,30.0,2000000.0,6.98,1,1,0.69,1.07,334,3,11,1,0,1,74.81,12,0.0,7,1,3,0
Bundesliga 25/26,1. FC Union Berlin,Marin Ljubičić,1090010,/marin-ljubicic/profil/spieler/838236,F,Atacante,2002-02-28,23.4,2000000.0,6.95,2,0,1.35,0.0,20,0,2,0,0,2,40.0,0,100.0,0,0,0,0
Bundesliga 25/26,1. FC Union Berlin,Leopold Querfeld,1086547,/leopold-querfeld/profil/spieler/597432,D,Defensor,2003-12-20,21.6,20000000.0,6.87,3,0,3.69,1.77,2704,30,31,6,0,10,79.95,21,57.14,52,36,3,2
Bundesliga 25/26,1. FC Union Berlin,Diogo Leite,855663,/diogo-leite/profil/spieler/357156,D,Defensor,1999-01-23,26.5,12000000.0,6.77,0,0,1.21,1.08,1970,23,23,4,0,1,76.49,9,50.0,33,43,0,2
Bundesliga 25/26,1. FC Union Berlin,Aljoscha Kemlein,1198074,/aljoscha-kemlein/profil/spieler/692737,M,Meio-campo,2004-08-02,21.0,12000000.0,6.76,0,2,1.18,2.31,1967,23,30,4,0,2,76.79,15,70.83,40,16,3,1
Bundesliga 25/26,1. FC Union Berlin,Oliver Burke,608362,/oliver-burke/profil/spieler/341317,F,Atacante,1997-04-07,28.3,3000000.0,6.75,6,2,5.18,1.96,1691,21,29,4,0,15,72.13,22,31.43,12,5,3,6
Bundesliga 25/26,1. FC Union Berlin,Danilho Doekhi,830803,/danilho-doekhi/profil/spieler/387047,D,Defensor,1998-06-30,27.1,13000000.0,6.75,5,0,4.25,1.61,3060,34,34,4,0,11,77.34,8,75.0,44,40,0,4
Bundesliga 25/26,1. FC Union Berlin,Frederik Rønnow,137692,/frederik-ronnow/profil/spieler/107775,G,Goleiro,1992-08-04,33.0,2000000.0,6.74,0,0,,0.24,2641,30,30,2,0,0,55.82,2,0.0,1,1,0,0
Bundesliga 25/26,1. FC Union Berlin,Woo-Yeong Jeong,927405,,F,Atacante,1999-09-20,25.9,,6.74,4,1,2.63,0.82,1206,13,28,0,0,8,75.68,6,38.89,18,7,0,2
Bundesliga 25/26,1. FC Union Berlin,Livan Burcu,1513469,/livan-burcu/profil/spieler/519872,F,Atacante,2004-09-28,20.8,4000000.0,6.73,1,1,1.61,1.12,655,6,18,4,0,3,79.81,9,46.88,12,2,0,3
Bundesliga 25/26,1. FC Union Berlin,Derrick Köhn,886737,/derrick-kohn/profil/spieler/391780,M,Meio-campo,1999-02-04,26.5,4000000.0,6.72,1,2,2.15,3.78,1910,21,29,5,1,5,76.3,26,42.31,34,8,5,2
Bundesliga 25/26,1. FC Union Berlin,Rani Khedira,149479,/rani-khedira/profil/spieler/124410,M,Meio-campo,1994-01-27,31.5,2000000.0,6.72,5,1,2.04,1.35,2835,32,32,7,0,10,66.62,16,23.08,59,37,4,1
Bundesliga 25/26,1. FC Union Berlin,Andrej Ilić,953767,/andrej-ilic/profil/spieler/583699,F,Atacante,2000-04-03,25.3,9000000.0,6.7,5,9,11.26,2.17,2256,24,32,5,0,26,54.76,30,33.33,4,1,7,15
Bundesliga 25/26,1. FC Union Berlin,Janik Haberer,168985,/janik-haberer/profil/spieler/177779,M,Meio-campo,1994-04-02,31.3,2000000.0,6.69,0,1,0.58,2.48,1658,20,28,8,0,1,76.28,21,37.5,35,8,3,1
Bundesliga 25/26,1. FC Union Berlin,András Schäfer,877302,/andras-schafer/profil/spieler/454863,M,Meio-campo,1999-04-13,26.3,4500000.0,6.68,2,1,1.97,0.87,1442,16,28,2,1,10,76.32,7,47.37,41,23,1,2
Bundesliga 25/26,1. FC Union Berlin,Ilyas Ansah,1462742,/ilyas-ansah/profil/spieler/1035765,F,Atacante,2004-11-08,20.7,12000000.0,6.64,5,1,3.25,1.05,1909,23,33,1,0,12,74.92,16,34.72,17,5,1,4
Bundesliga 25/26,1. FC Union Berlin,Stanley Nsoki,904991,/stanley-nsoki/profil/spieler/371141,D,Defensor,1999-04-09,26.3,2000000.0,6.59,1,2,0.16,0.31,823,10,13,2,0,1,69.97,4,66.67,13,19,0,0
Bundesliga 25/26,1. FC Union Berlin,Tim Skarke,800252,/tim-skarke/profil/spieler/287920,M,Meio-campo,1996-09-07,28.9,1500000.0,6.58,1,1,0.89,1.3,619,4,22,0,0,5,70.13,12,41.67,7,1,2,0
Bundesliga 25/26,1. FC Union Berlin,Alex Král,825740,/alex-kral/profil/spieler/337333,M,Meio-campo,1998-05-19,27.2,2500000.0,6.58,0,0,0.31,0.51,466,2,20,1,0,3,78.99,4,69.23,9,4,0,0
Bundesliga 25/26,1. FC Union Berlin,Robert Skov,327863,/robert-skov/profil/spieler/270393,M,Meio-campo,1996-05-20,29.2,2000000.0,6.57,0,0,0.02,0.11,223,3,3,0,0,0,67.74,1,100.0,6,2,0,0
Bundesliga 25/26,1. FC Union Berlin,Tom Alexander Rothe,1210666,,D,Defensor,2004-10-29,20.8,,6.55,2,0,1.15,1.04,1039,10,21,1,1,5,72.82,11,31.82,20,19,1,0
Bundesliga 25/26,1. FC Union Berlin,Linus Guther,2311163,/linus-guther/profil/spieler/1378338,F,Atacante,2010-04-08,15.3,1000000.0,6.3,0,0,,,14,0,1,1,0,0,0.0,0,0.0,0,0,0,0
Bundesliga 25/26,1. FC Union Berlin,Dmytro Bogdanov,1568506,/dmytro-bogdanov/profil/spieler/1045446,F,Atacante,2007-03-06,18.4,800000.0,0.0,0,0,0.97,0.0,5,0,2,0,0,1,100.0,0,0.0,0,0,0,1
Bundesliga 25/26,Hamburger SV,Sander Tangvik,1030355,/sander-tangvik/profil/spieler/549378,G,Goleiro,2002-11-29,22.7,3000000.0,8.8,0,0,,0.0,90,1,1,0,0,0,66.67,0,0.0,0,0,0,0
Bundesliga 25/26,Hamburger SV,Luka Vušković,1405212,/luka-vuskovic/profil/spieler/892160,D,Defensor,2007-02-24,18.4,60000000.0,7.28,6,0,4.22,1.46,2441,27,28,6,0,10,83.05,11,88.89,22,40,0,5
Bundesliga 25/26,Hamburger SV,Daniel Fernandes,113442,,G,Goleiro,1992-11-13,32.7,,7.18,0,0,0.26,0.13,2970,33,33,3,0,0,74.16,0,100.0,0,0,0,0
Bundesliga 25/26,Hamburger SV,Fábio Vieira,904835,/fabio-vieira/profil/spieler/537598,M,Meio-campo,2000-05-30,25.2,18000000.0,7.18,7,5,4.65,4.07,2215,25,29,2,2,19,83.02,39,53.33,20,13,7,1
Bundesliga 25/26,Hamburger SV,Jean-Luc Dompé,789192,,F,Atacante,1995-08-12,30.0,,7.03,3,0,2.08,4.02,1136,12,20,0,0,12,80.84,33,56.76,5,0,7,1
Bundesliga 25/26,Hamburger SV,Albert Grønbæk,1000263,/albert-gronbaek/profil/spieler/503866,M,Meio-campo,2001-05-23,24.2,5000000.0,6.97,1,2,0.49,0.96,495,6,7,0,0,4,74.64,8,62.5,15,11,2,1
Bundesliga 25/26,Hamburger SV,Albert Sambi Lokonga,901892,/albert-sambi-lokonga/profil/spieler/381967,M,Meio-campo,1999-10-22,25.8,12000000.0,6.96,5,0,2.05,1.6,1712,20,26,3,0,11,87.7,25,50.0,31,14,0,0
Bundesliga 25/26,Hamburger SV,Miro Muheim,798303,/miro-muheim/profil/spieler/298603,M,Meio-campo,1998-03-24,27.4,5000000.0,6.93,0,4,1.19,4.25,2437,27,29,7,1,7,75.63,41,67.74,62,27,6,2
Bundesliga 25/26,Hamburger SV,Nicolai Remberg,1064305,/nicolai-remberg/profil/spieler/592534,M,Meio-campo,2000-06-19,25.1,9000000.0,6.93,0,2,1.03,1.41,2880,32,32,11,0,8,89.04,13,56.0,60,42,5,1
Bundesliga 25/26,Hamburger SV,Jordan Torunarigha,801003,/jordan-torunarigha/profil/spieler/227110,D,Defensor,1997-08-07,28.0,4000000.0,6.78,0,0,0.37,0.91,1965,21,24,3,0,1,85.4,2,75.0,37,30,0,0
Bundesliga 25/26,Hamburger SV,Nicolás Capaldo,973564,/nicolas-capaldo/profil/spieler/649672,D,Defensor,1998-09-14,26.9,8000000.0,6.75,1,3,1.93,2.17,2009,24,26,10,0,6,77.73,22,41.67,68,35,2,4
Bundesliga 25/26,Hamburger SV,Robert Glatzel,168987,/robert-glatzel/profil/spieler/196139,F,Atacante,1994-01-08,31.6,1500000.0,6.68,3,2,2.68,0.4,640,7,19,0,0,7,72.93,6,35.71,1,0,1,3
Bundesliga 25/26,Hamburger SV,Warmed Omari,999030,/warmed-omari/profil/spieler/711996,D,Defensor,2000-04-23,25.3,4000000.0,6.66,0,1,0.12,0.28,1607,17,20,0,0,1,85.77,8,100.0,22,27,0,0
Bundesliga 25/26,Hamburger SV,Giorgi Gocholeishvili,1035752,/giorgi-gocholeishvili/profil/spieler/540056,D,Defensor,2001-02-14,24.5,2000000.0,6.65,0,1,0.76,0.46,957,9,24,1,1,2,74.69,10,46.15,25,8,1,1
Bundesliga 25/26,Hamburger SV,Philip Otele,988476,/philip-otele/profil/spieler/678655,M,Meio-campo,1999-04-15,26.3,4000000.0,6.65,1,1,1.11,1.25,477,7,9,3,1,3,68.14,9,53.85,2,3,3,0
Bundesliga 25/26,Hamburger SV,Jonas Meffert,148256,/jonas-meffert/profil/spieler/107574,M,Meio-campo,1994-09-04,30.9,700000.0,6.65,0,0,,0.47,151,1,4,0,0,0,76.54,2,0.0,4,1,0,0
Bundesliga 25/26,Hamburger SV,Fabio Baldé,1546267,/fabio-balde/profil/spieler/910541,F,Atacante,2005-07-20,20.0,5000000.0,6.65,1,1,0.91,0.54,455,3,16,1,0,4,73.58,5,52.63,14,1,2,0
Bundesliga 25/26,Hamburger SV,Bakery Jatta,842526,/bakery-jatta/profil/spieler/415194,M,Meio-campo,1998-06-06,27.2,1000000.0,6.63,1,1,0.84,0.62,918,12,15,1,0,4,81.61,4,33.33,15,9,0,3
Bundesliga 25/26,Hamburger SV,Ransford Yeboah Königsdörffer,1012235,,F,Atacante,2001-09-13,23.9,,6.62,5,0,7.69,1.68,2360,29,33,2,0,22,70.56,20,37.5,6,6,0,11
Bundesliga 25/26,Hamburger SV,Yussuf Poulsen,135264,/yussuf-poulsen/profil/spieler/157635,F,Atacante,1994-06-15,31.1,1000000.0,6.62,1,0,0.76,0.34,342,1,15,4,0,3,58.56,2,75.0,4,2,1,0
Bundesliga 25/26,Hamburger SV,Rayan Philippe,991824,/rayan-philippe/profil/spieler/694507,F,Atacante,2000-10-20,24.8,4000000.0,6.58,5,0,5.2,1.68,1292,13,28,2,0,16,69.61,16,32.43,20,4,3,4
Bundesliga 25/26,Hamburger SV,Otto Stange,1568535,/otto-stange/profil/spieler/1058520,F,Atacante,2007-02-09,18.5,4000000.0,6.57,0,0,0.96,0.16,288,2,10,0,0,1,71.43,1,50.0,3,0,0,1
Bundesliga 25/26,Hamburger SV,Daniel Elfadli,945532,/daniel-elfadli/profil/spieler/529895,D,Defensor,1997-04-06,28.3,3000000.0,6.56,0,0,0.41,0.39,1266,15,21,4,1,1,93.39,2,75.0,22,20,0,1
Bundesliga 25/26,Hamburger SV,William Mikelbrencis,1102528,/william-mikelbrencis/profil/spieler/743500,M,Meio-campo,2004-02-25,21.4,3000000.0,6.55,0,4,1.14,2.3,1404,15,26,3,0,6,71.15,17,40.63,34,5,5,1
Bundesliga 25/26,Hamburger SV,Alexander Røssing-Lelesiit,1862226,,F,Atacante,2007-01-20,18.5,,6.54,0,1,0.08,0.44,332,5,11,1,1,2,80.88,5,37.5,9,0,2,0
Bundesliga 25/26,Hamburger SV,Guilherme Ramos,827192,,D,Defensor,1997-08-11,28.0,,6.53,0,0,0.23,0.01,78,0,8,0,0,1,68.89,1,100.0,0,0,0,0
Bundesliga 25/26,Hamburger SV,Emir Sahiti,841985,/emir-sahiti/profil/spieler/403177,M,Meio-campo,1998-11-29,26.7,1700000.0,6.45,0,0,,0.03,122,2,2,0,0,0,70.97,1,66.67,0,0,0,0
Bundesliga 25/26,Hamburger SV,Damion Downs,1146091,/damion-downs/profil/spieler/820241,F,Atacante,2004-07-06,21.1,4000000.0,6.41,0,0,0.59,0.14,550,6,12,0,0,4,78.57,7,22.22,6,0,1,1
Bundesliga 25/26,Hamburger SV,Shafiq Nandja,2204961,/shafiq-nandja/profil/spieler/1125079,D,Defensor,2007-01-15,18.5,500000.0,6.3,0,0,,0.0,14,0,2,0,0,0,80.0,0,0.0,0,0,0,0
Bundesliga 25/26,Hamburger SV,Aboubaka Soumahoro,1605225,/aboubaka-soumahoro/profil/spieler/1052420,D,Defensor,2005-02-04,20.5,1200000.0,6.2,0,0,,0.17,141,2,4,1,0,0,90.0,1,0.0,1,0,0,0
Bundesliga 25/26,Hamburger SV,Immanuel Pherai,989203,/immanuel-pherai/profil/spieler/412935,M,Meio-campo,2001-04-25,24.3,1500000.0,6.17,0,0,0.05,0.03,63,0,6,0,1,0,78.26,0,50.0,2,0,0,0
Bundesliga 25/26,Hamburger SV,Louis Lemke,1995000,/louis-lemke/profil/spieler/1294853,D,Defensor,2009-10-08,15.8,300000.0,0.0,0,0,,,1,0,1,0,0,0,0.0,0,0.0,0,0,0,0
Bundesliga 25/26,FC Bayern München,Michael Olise,978838,/michael-olise/profil/spieler/566723,M,Meio-campo,2001-12-12,23.6,150000000.0,7.87,15,19,11.46,17.23,2317,23,32,8,0,50,84.14,81,47.1,24,13,27,15
Bundesliga 25/26,FC Bayern München,Harry Kane,108579,/harry-kane/profil/spieler/132098,F,Atacante,1993-07-28,32.0,60000000.0,7.84,36,5,26.87,4.27,2382,25,31,1,0,67,81.02,40,62.75,19,8,18,18
Bundesliga 25/26,FC Bayern München,Joshua Kimmich,259117,/joshua-kimmich/profil/spieler/161056,M,Meio-campo,1995-02-08,30.5,35000000.0,7.71,2,8,2.65,10.24,2280,24,29,4,0,10,92.38,58,61.11,32,25,16,1
Bundesliga 25/26,FC Bayern München,Sven Ulreich,26768,/sven-ulreich/profil/spieler/40680,G,Goleiro,1988-08-03,37.0,500000.0,7.6,0,0,,0.0,90,1,1,1,0,0,47.37,0,0.0,0,0,0,0
Bundesliga 25/26,FC Bayern München,Luis Díaz,883537,/luis-diaz/profil/spieler/480692,M,Meio-campo,1997-01-13,28.5,70000000.0,7.26,15,14,15.1,7.74,2450,27,32,5,1,37,85.81,67,48.8,21,14,17,15
Bundesliga 25/26,FC Bayern München,Jonathan Tah,227672,/jonathan-tah/profil/spieler/196357,D,Defensor,1996-02-11,29.5,28000000.0,7.24,2,1,0.71,1.73,2024,23,28,7,0,5,96.31,5,60.0,24,26,1,1
Bundesliga 25/26,FC Bayern München,Kim Min-jae,896569,,D,Defensor,1996-11-15,28.7,,7.23,1,1,0.62,1.41,1621,19,25,1,0,3,94.94,5,50.0,22,39,1,0
Bundesliga 25/26,FC Bayern München,Jonas Urbig,1130647,/jonas-urbig/profil/spieler/607720,G,Goleiro,2003-08-08,22.0,18000000.0,7.19,0,0,,0.05,1110,11,14,0,0,0,83.41,1,0.0,0,0,0,0
Bundesliga 25/26,FC Bayern München,Aleksandar Pavlović,1142251,/aleksandar-pavlovic/profil/spieler/792380,M,Meio-campo,2004-05-03,21.2,90000000.0,7.18,3,1,1.6,2.34,1460,16,24,2,0,5,94.55,21,50.0,26,14,3,0
Bundesliga 25/26,FC Bayern München,Dayot Upamecano,798583,/dayot-upamecano/profil/spieler/344695,D,Defensor,1998-10-27,26.8,70000000.0,7.16,1,1,1.03,1.62,1797,21,24,4,0,2,92.6,11,40.0,44,19,4,1
Bundesliga 25/26,FC Bayern München,Leon Goretzka,184661,/leon-goretzka/profil/spieler/153084,M,Meio-campo,1995-02-06,30.5,12000000.0,7.13,5,3,4.8,3.81,1954,25,31,4,0,11,91.41,22,78.57,29,26,3,6
Bundesliga 25/26,FC Bayern München,Serge Gnabry,187433,/serge-gnabry/profil/spieler/159471,M,Meio-campo,1995-07-14,30.1,18000000.0,7.09,8,6,6.26,5.08,1228,16,21,1,0,17,89.83,23,47.06,18,4,9,6
Bundesliga 25/26,FC Bayern München,Josip Stanišić,927407,/josip-stanisic/profil/spieler/483046,D,Defensor,2000-04-02,25.3,40000000.0,6.91,2,3,1.36,5.03,1855,19,26,1,0,4,89.75,24,62.5,28,18,4,0
Bundesliga 25/26,FC Bayern München,Tom Bischof,1129935,/tom-bischof/profil/spieler/822959,M,Meio-campo,2005-06-28,20.1,40000000.0,6.9,3,3,1.83,2.67,1320,14,26,2,0,9,92.6,24,50.0,26,15,5,1
Bundesliga 25/26,FC Bayern München,Manuel Neuer,8959,/manuel-neuer/profil/spieler/17259,G,Goleiro,1986-03-27,39.3,4000000.0,6.89,0,0,,0.04,1860,22,22,0,0,0,81.28,0,0.0,0,0,0,0
Bundesliga 25/26,FC Bayern München,Lennart Karl,1861975,/lennart-karl/profil/spieler/1075147,M,Meio-campo,2008-02-22,17.4,60000000.0,6.83,5,5,7.59,4.96,1282,16,26,1,0,21,85.91,24,33.33,25,14,5,10
Bundesliga 25/26,FC Bayern München,Alphonso Davies,843665,/alphonso-davies/profil/spieler/424204,D,Defensor,2000-11-02,24.7,40000000.0,6.82,1,3,0.35,1.63,534,6,13,1,0,1,93.61,9,50.0,9,3,2,1
Bundesliga 25/26,FC Bayern München,Hiroki Itō,873106,/hiroki-ito/profil/spieler/353892,D,Defensor,1999-05-12,26.2,18000000.0,6.81,1,2,0.85,1.07,932,10,16,0,0,3,91.09,6,100.0,4,14,2,1
Bundesliga 25/26,FC Bayern München,Konrad Laimer,355492,/konrad-laimer/profil/spieler/223967,D,Defensor,1997-05-27,28.2,32000000.0,6.81,3,9,2.42,5.21,1997,22,29,9,0,8,90.06,45,38.89,46,17,5,2
Bundesliga 25/26,FC Bayern München,Raphaël Guerreiro,246999,/raphael-guerreiro/profil/spieler/170986,D,Defensor,1993-12-22,31.6,5000000.0,6.77,5,2,3.43,1.43,803,8,18,0,0,5,89.52,19,21.43,7,2,3,0
Bundesliga 25/26,FC Bayern München,Nicolas Jackson,1085381,/nicolas-jackson/profil/spieler/776890,F,Atacante,2001-06-20,24.1,40000000.0,6.75,8,1,7.26,1.58,1037,12,23,2,1,21,81.56,18,36.67,8,4,4,10
Bundesliga 25/26,FC Bayern München,Jamal Musiala,1010231,/jamal-musiala/profil/spieler/580195,M,Meio-campo,2003-02-26,22.4,100000000.0,6.71,3,4,4.81,1.92,685,7,15,1,0,9,84.93,17,52.5,11,2,3,4
Bundesliga 25/26,FC Bayern München,Bara Sapoko Ndiaye,2427970,/bara-sapoko-ndiaye/profil/spieler/1497653,M,Meio-campo,2007-12-31,17.6,4000000.0,6.7,0,0,,0.08,148,2,4,0,0,0,93.55,0,80.0,6,2,0,0
Bundesliga 25/26,FC Bayern München,Jonah Kusi-Asare,1503757,,F,Atacante,2007-07-04,18.1,,6.6,0,0,,,10,0,1,0,0,0,0.0,0,0.0,0,0,0,0
Bundesliga 25/26,FC Bayern München,David Daiber,1489220,,M,Meio-campo,2007-01-10,18.6,,6.6,0,0,0.06,0.02,27,0,2,0,0,0,96.0,0,100.0,0,0,0,0
Bundesliga 25/26,FC Bayern München,Maycon Cardozo,2236502,/maycon-cardozo/profil/spieler/1352339,F,Atacante,2008-10-07,16.8,3000000.0,6.5,0,0,,0.01,32,0,2,0,0,0,93.75,0,0.0,0,0,0,0
Bundesliga 25/26,FC Bayern München,Sacha Boey,980418,/sacha-boey/profil/spieler/475413,D,Defensor,2000-09-13,24.9,10000000.0,6.5,0,0,0.28,0.34,462,5,9,1,0,0,86.35,4,11.11,6,5,0,0
Bundesliga 25/26,FC Bayern München,Wisdom Mike,1976732,/wisdom-mike/profil/spieler/1084539,F,Atacante,2008-09-24,16.9,5000000.0,6.43,0,0,0.09,0.01,37,0,4,0,0,1,82.35,0,0.0,0,1,0,0
Bundesliga 25/26,FC Bayern München,Deniz Ofli,1584884,/deniz-ofli/profil/spieler/1081907,D,Defensor,2007-03-29,18.3,2000000.0,6.3,0,0,,0.0,8,0,1,0,0,0,100.0,0,0.0,0,0,0,0
Bundesliga 25/26,FC Bayern München,Cassiano Kiala,1994978,/cassiano-kiala/profil/spieler/1259870,D,Defensor,2009-01-11,16.6,2000000.0,0.0,0,0,,0.0,1,0,1,0,0,0,100.0,0,0.0,0,0,0,0
Bundesliga 25/26,FC Bayern München,Erblin Osmani,1994983,/erblin-osmani/profil/spieler/1330946,M,Meio-campo,2009-05-19,16.2,2000000.0,0.0,0,0,,0.0,3,0,1,0,0,0,83.33,0,0.0,0,1,0,0
Bundesliga 25/26,1. FC Heidenheim,Frank Feller,1083359,/frank-feller/profil/spieler/806948,G,Goleiro,2004-01-07,21.6,800000.0,7.77,0,0,,0.01,270,3,3,0,0,0,71.55,0,0.0,1,0,0,0
Bundesliga 25/26,1. FC Heidenheim,Leo Scienza,1386651,/leo-scienza/profil/spieler/804219,M,Meio-campo,1998-09-11,26.9,12000000.0,7.45,1,0,0.13,0.36,180,2,2,0,0,1,75.68,3,33.33,2,0,3,0
Bundesliga 25/26,1. FC Heidenheim,Diant Ramaj,981562,/diant-ramaj/profil/spieler/448705,G,Goleiro,2001-09-19,23.9,7000000.0,6.94,0,1,,0.19,2790,31,31,2,0,0,65.12,1,0.0,1,0,1,0
Bundesliga 25/26,1. FC Heidenheim,Niklas Dorsch,794995,/niklas-dorsch/profil/spieler/251302,M,Meio-campo,1998-01-15,27.5,2500000.0,6.88,0,1,0.59,2.64,2270,27,32,2,0,3,88.8,24,50.0,59,20,5,0
Bundesliga 25/26,1. FC Heidenheim,Hennes Behrens,1864760,/hennes-behrens/profil/spieler/829838,D,Defensor,2005-01-19,20.5,5000000.0,6.88,1,2,0.32,2.23,1319,15,16,0,0,4,72.55,18,71.43,28,16,6,0
Bundesliga 25/26,1. FC Heidenheim,Patrick Mainka,254429,/patrick-mainka/profil/spieler/133731,D,Defensor,1994-11-06,30.7,2500000.0,6.85,2,2,3.49,1.36,3060,34,34,1,0,9,87.08,10,100.0,45,35,3,5
Bundesliga 25/26,1. FC Heidenheim,Arijon Ibrahimović,1142248,/arijon-ibrahimovic/profil/spieler/744728,M,Meio-campo,2005-12-11,19.6,10000000.0,6.8,2,4,6.31,6.3,2181,25,32,2,0,19,72.08,56,45.1,34,23,11,7
Bundesliga 25/26,1. FC Heidenheim,Eren Dinkçi,1067120,/eren-dinkci/profil/spieler/645774,F,Atacante,2001-12-13,23.6,6000000.0,6.79,3,1,3.97,2.1,1399,16,22,4,0,9,70.62,11,39.29,25,10,1,4
Bundesliga 25/26,1. FC Heidenheim,Marnon Busch,168861,/marnon-busch/profil/spieler/117478,D,Defensor,1994-12-08,30.6,1000000.0,6.79,1,5,1.11,3.52,1912,20,29,4,0,3,80.12,17,23.08,36,32,8,1
Bundesliga 25/26,1. FC Heidenheim,Adrian Beck,845742,/adrian-beck/profil/spieler/273669,M,Meio-campo,1997-06-09,28.1,1500000.0,6.77,1,1,0.86,1.49,884,9,24,1,0,4,84.02,18,60.0,18,4,4,1
Bundesliga 25/26,1. FC Heidenheim,Julian Niehues,1066042,/julian-niehues/profil/spieler/530173,M,Meio-campo,2001-04-17,24.3,1500000.0,6.74,3,0,1.26,0.86,1397,17,24,1,0,5,82.0,7,55.56,17,21,1,1
Bundesliga 25/26,1. FC Heidenheim,Marvin Pieringer,909485,/marvin-pieringer/profil/spieler/471055,F,Atacante,1999-10-04,25.8,3000000.0,6.71,4,1,5.84,1.46,1653,20,27,2,0,8,67.89,16,55.17,20,10,3,7
Bundesliga 25/26,1. FC Heidenheim,Budu Zivzivadze,149728,/budu-zivzivadze/profil/spieler/187097,F,Atacante,1994-03-10,31.4,1200000.0,6.65,6,0,5.32,1.1,1146,14,20,2,1,14,72.15,7,41.94,14,1,2,6
Bundesliga 25/26,1. FC Heidenheim,Christian Conteh,933833,/christian-conteh/profil/spieler/530298,F,Atacante,1999-08-27,25.9,1500000.0,6.63,0,0,0.22,1.15,405,4,9,0,0,0,79.75,7,33.33,2,2,4,0
Bundesliga 25/26,1. FC Heidenheim,Yannik Wagner,2189165,/yannik-wagner/profil/spieler/1153628,F,Atacante,2007-05-09,18.2,800000.0,6.63,0,0,0.02,0.51,45,0,4,0,0,0,70.0,2,0.0,1,0,1,0
Bundesliga 25/26,1. FC Heidenheim,Sirlord Conteh,800400,/sirlord-conteh/profil/spieler/307183,F,Atacante,1996-07-09,29.1,1200000.0,6.62,2,1,2.8,0.72,619,3,15,1,0,3,66.92,8,33.33,7,4,0,2
Bundesliga 25/26,1. FC Heidenheim,Leonidas Stergiou,962898,/leonidas-stergiou/profil/spieler/507345,D,Defensor,2002-03-03,23.4,2500000.0,6.62,0,0,0.09,0.01,204,1,6,0,0,0,77.63,0,100.0,8,2,0,0
Bundesliga 25/26,1. FC Heidenheim,Stefan Schimmer,842922,/stefan-schimmer/profil/spieler/394033,F,Atacante,1994-04-28,31.3,300000.0,6.62,5,1,5.37,0.63,812,3,27,1,0,11,64.1,12,50.0,11,3,2,11
Bundesliga 25/26,1. FC Heidenheim,Jan Schöppner,933707,/jan-schoppner/profil/spieler/581357,M,Meio-campo,1999-06-12,26.1,3000000.0,6.62,3,3,2.15,1.36,2260,29,31,5,0,7,68.01,14,34.38,32,34,5,2
Bundesliga 25/26,1. FC Heidenheim,Luca Kerber,1097453,/luca-kerber/profil/spieler/809498,M,Meio-campo,2002-03-10,23.4,2000000.0,6.61,2,0,1.69,0.24,721,8,18,3,0,3,72.17,2,0.0,17,3,0,2
Bundesliga 25/26,1. FC Heidenheim,Jonas Föhrenbach,311676,/jonas-fohrenbach/profil/spieler/192169,D,Defensor,1996-01-26,29.5,1000000.0,6.6,1,1,0.55,2.71,2327,25,27,3,0,1,79.81,21,22.22,46,30,3,0
Bundesliga 25/26,1. FC Heidenheim,Thomas Keller,940236,/thomas-keller/profil/spieler/485747,D,Defensor,1999-08-05,26.0,1200000.0,6.58,0,0,0.05,0.12,191,3,4,1,0,0,83.19,0,100.0,1,0,0,0
Bundesliga 25/26,1. FC Heidenheim,Tim Siersleben,988252,/tim-siersleben/profil/spieler/337092,D,Defensor,2000-03-09,25.4,1800000.0,6.57,0,0,0.47,0.37,1093,12,15,2,0,3,81.47,2,0.0,23,20,0,1
Bundesliga 25/26,1. FC Heidenheim,Mathias Honsak,575952,/mathias-honsak/profil/spieler/283497,M,Meio-campo,1996-12-20,28.6,1700000.0,6.56,2,1,3.17,1.67,1260,15,27,1,0,8,74.0,12,39.47,21,18,2,4
Bundesliga 25/26,1. FC Heidenheim,Mikkel Kaufmann,918437,/mikkel-kaufmann/profil/spieler/545332,F,Atacante,2001-01-03,24.6,1500000.0,6.55,1,1,1.42,0.61,546,6,16,2,0,3,64.65,4,0.0,3,1,3,4
